"term","coefficient","penalty","year","target","best_penalty","best_mixture","cv_rmse","cv_rsq","abs_coef","question","answer_level"
"partei_label_AfD",0.448847451183003,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.448847451183003,NA,"partei_label_AfD"
"partei_label_CDU.CSU",-0.324907890530707,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.324907890530707,NA,"partei_label_CDU.CSU"
"partei_label_LINKE",0.277180848964146,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.277180848964146,NA,"partei_label_LINKE"
"Q8_Nein.",-0.20413595064077,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.20413595064077,"Q8","Nein."
"(Intercept)",-0.1734297279982,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.1734297279982,NA,"(Intercept)"
"Q57_Nein.",0.160155427552749,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.160155427552749,"Q57","Nein."
"Q8_Ja.",0.129626464638002,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.129626464638002,"Q8","Ja."
"Q39_Ja.",0.110765572787261,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.110765572787261,"Q39","Ja."
"partei_label_SPD",-0.108450791386361,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.108450791386361,NA,"partei_label_SPD"
"Q43_Nein.",0.096739523816122,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.096739523816122,"Q43","Nein."
"Q56_Nein.",-0.0962987219472523,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0962987219472523,"Q56","Nein."
"Q44_Ja.",0.0957513926055513,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0957513926055513,"Q44","Ja."
"Q8_Eher.nicht",-0.0926883807933015,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0926883807933015,"Q8","Eher.nicht"
"Q23_Ja.",0.082756033548656,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.082756033548656,"Q23","Ja."
"Q55_Nein.",-0.076744521874732,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.076744521874732,"Q55","Nein."
"Q63_Nein.",0.0681923445265209,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0681923445265209,"Q63","Nein."
"Q37_Ja.",0.0661894682293593,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0661894682293593,"Q37","Ja."
"Q35_Ja.",-0.0628072998388733,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0628072998388733,"Q35","Ja."
"Q39_Nein.",-0.0585799983350967,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0585799983350967,"Q39","Nein."
"Q20_Nein.",0.0564602508288307,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0564602508288307,"Q20","Nein."
"Q34_Eher.nicht",-0.0557009624068852,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0557009624068852,"Q34","Eher.nicht"
"Q22_Eher.nicht",-0.0552210391235364,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0552210391235364,"Q22","Eher.nicht"
"Q59_Nein.",-0.0414550613535498,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0414550613535498,"Q59","Nein."
"Q50_Eher.nicht",-0.0365082574226715,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0365082574226715,"Q50","Eher.nicht"
"Q32_Nein.",-0.0307174631854744,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0307174631854744,"Q32","Nein."
"Q41_Nein.",-0.0304084376916093,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0304084376916093,"Q41","Nein."
"Q6_Eher.nicht",-0.0300523846903129,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0300523846903129,"Q6","Eher.nicht"
"Q27_Nein.",-0.0293236983822433,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0293236983822433,"Q27","Nein."
"Q34_Ja.",0.0235584707928611,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0235584707928611,"Q34","Ja."
"Q18_Eher.nicht",-0.0206936329049145,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0206936329049145,"Q18","Eher.nicht"
"Q32_Eher.ja",0.0193472776758359,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0193472776758359,"Q32","Eher.ja"
"Q46_Unentschieden",-0.0187237569915642,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0187237569915642,"Q46","Unentschieden"
"Q5_Ja.",0.018309290504577,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.018309290504577,"Q5","Ja."
"Q64_Nein.",0.0168815419760779,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0168815419760779,"Q64","Nein."
"Q51_Ja.",0.0154109862904149,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0154109862904149,"Q51","Ja."
"Q54_Nein.",0.0119332772807732,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0119332772807732,"Q54","Nein."
"Q27_Ja.",0.0109460363636163,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.0109460363636163,"Q27","Ja."
"Q12_Eher.ja",-0.00975143385069213,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00975143385069213,"Q12","Eher.ja"
"Q30_Eher.nicht",-0.00893834471285447,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00893834471285447,"Q30","Eher.nicht"
"Q31_Ja.",0.00803729557676267,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00803729557676267,"Q31","Ja."
"Q42_Eher.ja",-0.00760054175995921,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00760054175995921,"Q42","Eher.ja"
"Q46_Ja.",0.00503728366264984,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00503728366264984,"Q46","Ja."
"Q13_Nein.",-0.00491576812642078,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00491576812642078,"Q13","Nein."
"Q55_Ja.",0.004399700814364,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.004399700814364,"Q55","Ja."
"Q13_Ja.",0.00404551686877765,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00404551686877765,"Q13","Ja."
"Q64_Eher.ja",-0.00292393126124768,0.0494171336132383,2013,"anti_elite_score",0.0494171336132383,0.6,0.411336968199789,0.572957104147038,0.00292393126124768,"Q64","Eher.ja"
